name,LM Main Class,LM Subclass
Plasmanyl-PC(O-16:0/16:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/17:0),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/18:2),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/20:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/20:2),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/20:3),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/20:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/22:3),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/22:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:0/22:6),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:1/18:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-16:1/26:0),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:0/18:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:0/20:2),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:0/20:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:0/22:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:1/18:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:1/22:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-18:1/22:5),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-20:0/16:0),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-22:0/16:0),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-22:0/20:4),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-22:1/18:2),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-22:1/20:3),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
Plasmanyl-PC(O-24:1/18:1),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
